iter	Passed	Remaining
1112	219909	310995
1113	220082	310762
1114	220257	310532
1115	220436	310309
1116	220628	310104
1117	220836	309922
1118	221061	309762
1119	221204	309489
1120	221383	309265
1121	221587	309076
1122	221750	308831
1123	221936	308618
1124	222105	308381
1125	222289	308164
1126	222490	307972
1127	222650	307723
1128	222817	307484
1129	223031	307310
1130	223221	307101
1131	223404	306885
1132	223589	306671
1133	223777	306461
1134	223977	306267
1135	224228	306143
1136	224393	305900
1137	224593	305707
1138	224805	305529
1139	224981	305304
1140	225135	305047
1141	225345	304867
1142	225541	304668
1143	225730	304460
1144	225932	304269
1145	226106	304039
1146	226294	303829
1147	226476	303612
1148	226735	303498
1149	226902	303259
1150	227075	303030
1151	227278	302841
1152	227704	302947
1153	227975	302847
1154	228209	302698
1155	228405	302499
1156	228576	302266
1157	228787	302085
1158	228963	301859
1159	229141	301636
1160	229366	301475
1161	229671	301419
1162	229843	301187
1163	230032	300979
1164	230243	300799
1165	230412	300563
1166	230602	300355
1167	230776	300128
1168	231026	299997
1169	231242	299824
1170	231430	299614
1171	231640	299432
1172	231874	299282
1173	232069	299080
1174	232236	298843
1175	232469	298692
1176	232677	298506
1177	232856	298285
1178	233034	298062
1179	233195	297818
1180	233406	297637
1181	233582	297412
1182	233872	297332
1183	234228	297335
1184	234448	297165
1185	234709	297047
1186	234985	296949
1187	235169	296733
1188	235377	296547
1189	235585	296362
1190	235762	296138
1191	236001	295991
1192	236178	295767
1193	236428	295634
1194	236610	295416
1195	236795	295202
1196	236972	294978
1197	237202	294819
1198	237406	294629
1199	237637	294473
1200	237808	294240
1201	237982	294013
1202	238247	293898
1203	238417	293665
1204	238580	293423
1205	238725	293161
1206	238988	293042
1207	239183	292840
1208	239357	292614
1209	239519	292371
1210	239722	292180
1211	239897	291954
1212	240071	291727
1213	240278	291540
1214	240498	291369
1215	240720	291200
1216	240990	291090
1217	241234	290947
1218	241424	290739
1219	241617	290534
1220	241797	290315
1221	241974	290092
1222	242148	289865
1223	242282	289591
1224	242461	289370
1225	242633	289141
1226	242813	288922
1227	242984	288692
1228	243154	288461
1229	243354	288266
1230	243563	288081
1231	243770	287895
1232	244004	287738
1233	244156	287487
1234	244329	287260
1235	244536	287073
1236	244803	286956
1237	245054	286820
1238	245229	286595
1239	245418	286387
1240	245598	286168
1241	245793	285967
1242	245976	285752
1243	246170	285549
1244	246346	285326
1245	246486	285062
1246	246646	284820
1247	246854	284634
1248	247120	284515
1249	247297	284293
1250	247497	284097
1251	247739	283951
1252	247927	283741
1253	248100	283514
